purID,productID,cost,amount
1,92,1.77,3
1,47,18.18,1
1,10,1.36,2
2,42,2.01,4
2,33,3.22,4
2,94,2.67,1
2,154,3.16,2
2,131,22.99,2
3,84,1.29,1
3,33,3.18,3
3,31,2.11,2
3,110,5.42,3
4,22,7.28,1
4,78,2.45,4
4,151,1.8,2
5,107,16.06,1
5,144,19.79,4
5,72,0.89,4
5,18,4.07,4
6,138,8.16,2
6,2,1.45,4
6,132,5.19,3
6,80,3.39,3
6,33,1.53,3
6,69,3.15,1
6,107,5.71,1
6,31,1.59,1
7,105,0.96,3
7,108,2.78,4
8,131,27.62,3
8,84,1.35,3
9,76,1.52,4
9,85,2.11,3
9,60,3.14,4
9,143,4.73,3
9,28,2.31,3
9,139,0.64,3
9,9,1.53,4
10,31,1.85,4
10,136,12.87,2
11,29,7.74,4
11,5,1.08,3
11,123,3.34,4
11,100,4.14,4
11,77,2.5,2
11,65,3.7,4
11,93,2.26,3
12,47,23.34,2
12,100,4.6,3
12,109,4.54,4
12,22,7.6,4
12,128,2.37,3
12,153,2.51,3
12,23,6.04,1
12,88,5.13,2
13,6,1.85,1
13,34,2.87,4
13,145,0.89,2
13,28,3.32,3
14,42,1.84,4
14,23,5.5,4
15,97,5.25,2
15,93,5.7,1
15,130,16.86,4
15,150,1.75,1
16,55,18.45,2
16,81,4.53,4
16,142,28.7,3
17,106,2.8,1
17,33,1.53,3
17,101,1.06,3
17,91,1.38,2
17,4,1.11,4
17,81,4.22,4
18,76,1.82,2
18,93,3.38,4
18,9,2.0,1
18,46,12.94,4
18,12,1.37,1
19,79,1.71,3
19,30,1.74,4
19,22,7.59,1
19,113,6.78,2
19,37,6.59,2
20,40,5.37,3
20,37,4.54,4
20,36,4.2,1
20,60,3.38,3
20,97,5.7,1
20,124,1.53,1
20,123,2.05,2
20,129,11.93,3
21,29,7.99,1
21,121,4.18,3
21,79,2.16,1
21,130,21.86,4
21,57,2.44,1
22,139,0.52,2
22,113,6.3,2
22,134,8.73,2
